date;nevada;matteo messina denaro;hillsborough;Damien Chazelle;air travel;isPartial
2023-01-01;16;0;22;1;11;False
2023-01-02;16;0;23;1;13;False
2023-01-03;23;2;20;1;9;False
2023-01-04;21;0;16;1;13;False
2023-01-05;17;0;21;0;11;False
2023-01-06;15;0;19;1;11;False
2023-01-07;12;0;44;0;8;False
2023-01-08;14;0;27;0;12;False
2023-01-09;12;1;26;1;7;False
2023-01-10;12;0;18;2;12;False
2023-01-11;13;1;20;0;13;False
2023-01-12;11;2;17;2;11;False
2023-01-13;11;1;19;0;9;False
2023-01-14;13;0;21;0;8;False
2023-01-15;12;0;15;2;10;False
2023-01-16;15;100;16;0;10;False
2023-01-17;14;22;15;0;8;False
2023-01-18;13;9;14;2;12;False
2023-01-19;12;2;18;1;11;False
2023-01-20;11;3;17;2;9;False
2023-01-21;10;6;23;6;9;False
2023-01-22;13;7;14;3;10;False
2023-01-23;9;3;19;5;11;False
2023-01-24;15;2;15;2;8;False
2023-01-25;13;0;16;1;11;False
2023-01-26;11;0;16;2;10;False
2023-01-27;10;0;18;2;7;False
2023-01-28;13;0;20;2;10;False
2023-01-29;15;1;17;0;9;False
2023-01-30;12;0;14;0;15;False
2023-01-31;9;0;78;1;12;False
