date;Exams;Vegetarian food and drink;Education policy;National Theatre;air travel;isPartial
2023-01-01;42;0;0;29;17;False
2023-01-02;57;0;3;32;20;False
2023-01-03;71;0;4;32;13;False
2023-01-04;83;0;2;31;20;False
2023-01-05;74;0;5;32;16;False
2023-01-06;73;0;5;33;17;False
2023-01-07;45;0;0;44;12;False
2023-01-08;59;0;7;27;19;False
2023-01-09;100;0;5;30;11;False
2023-01-10;83;0;3;38;18;False
2023-01-11;90;0;7;35;20;False
2023-01-12;95;0;5;39;17;False
2023-01-13;80;0;1;35;14;False
2023-01-14;57;0;2;41;13;False
2023-01-15;64;0;3;36;15;False
2023-01-16;95;0;5;25;15;False
2023-01-17;88;0;6;26;13;False
2023-01-18;74;0;4;31;18;False
2023-01-19;81;0;5;25;16;False
2023-01-20;67;0;4;36;13;False
2023-01-21;46;0;4;29;14;False
2023-01-22;50;0;2;31;16;False
2023-01-23;82;0;4;35;16;False
2023-01-24;90;0;7;33;12;False
2023-01-25;79;0;3;24;17;False
2023-01-26;75;0;4;51;15;False
2023-01-27;60;0;5;40;11;False
2023-01-28;38;0;2;25;15;False
2023-01-29;55;0;2;31;14;False
2023-01-30;81;0;3;30;23;False
2023-01-31;64;0;4;26;19;False
