date;floods;Julian Sands;david davis;itv;air travel;isPartial
2023-01-01;2;0;0;53;2;False
2023-01-02;1;0;0;53;2;False
2023-01-03;2;0;0;44;1;False
2023-01-04;1;0;0;43;2;False
2023-01-05;1;0;0;42;2;False
2023-01-06;1;0;0;58;2;False
2023-01-07;2;0;0;64;1;False
2023-01-08;3;0;1;100;2;False
2023-01-09;2;0;0;67;1;False
2023-01-10;6;0;0;46;2;False
2023-01-11;5;0;0;42;2;False
2023-01-12;9;0;1;39;2;False
2023-01-13;7;0;0;37;1;False
2023-01-14;7;0;0;44;1;False
2023-01-15;8;0;0;44;1;False
2023-01-16;4;0;0;82;2;False
2023-01-17;3;0;0;68;1;False
2023-01-18;4;0;1;60;2;False
2023-01-19;1;63;1;49;2;False
2023-01-20;1;24;0;51;1;False
2023-01-21;1;42;0;61;1;False
2023-01-22;1;29;0;53;2;False
2023-01-23;1;22;1;50;2;False
2023-01-24;1;22;0;51;1;False
2023-01-25;1;32;1;46;2;False
2023-01-26;1;22;0;45;1;False
2023-01-27;4;18;0;66;1;False
2023-01-28;8;9;0;62;1;False
2023-01-29;7;11;1;63;1;False
2023-01-30;4;17;0;54;2;False
2023-01-31;4;6;1;50;2;False
