date;Reserve Bank of Australia;Tim Peake;Kendrick Lamar;Mars;air travel;isPartial
2023-01-01;0;2;8;60;10;False
2023-01-02;1;1;5;60;12;False
2023-01-03;0;0;4;63;8;False
2023-01-04;0;3;4;62;12;False
2023-01-05;1;1;3;65;10;False
2023-01-06;2;1;6;65;10;False
2023-01-07;0;1;6;56;7;False
2023-01-08;0;2;6;75;11;False
2023-01-09;0;2;6;61;7;False
2023-01-10;1;4;7;75;10;False
2023-01-11;0;3;4;72;12;False
2023-01-12;0;1;5;76;10;False
2023-01-13;0;1;6;76;8;False
2023-01-14;0;1;1;77;7;False
2023-01-15;0;1;4;71;9;False
2023-01-16;0;0;4;81;9;False
2023-01-17;0;1;4;78;7;False
2023-01-18;0;0;5;84;11;False
2023-01-19;1;0;5;99;10;False
2023-01-20;0;12;7;88;8;False
2023-01-21;0;3;4;100;8;False
2023-01-22;1;8;4;100;9;False
2023-01-23;0;4;5;81;9;False
2023-01-24;0;3;4;87;7;False
2023-01-25;0;1;6;86;10;False
2023-01-26;0;2;5;83;9;False
2023-01-27;0;3;4;90;6;False
2023-01-28;0;2;7;83;9;False
2023-01-29;0;0;7;86;8;False
2023-01-30;0;2;6;78;13;False
2023-01-31;1;1;7;79;11;False
