date;Barbican;Greece;Ethics;Migration;air travel;isPartial
2023-01-01;13;71;5;6;5;False
2023-01-02;12;78;9;6;6;False
2023-01-03;13;79;12;8;4;False
2023-01-04;13;69;13;9;6;False
2023-01-05;15;65;13;10;5;False
2023-01-06;12;66;12;9;5;False
2023-01-07;14;77;8;6;3;False
2023-01-08;16;100;10;7;5;False
2023-01-09;12;74;13;11;3;False
2023-01-10;16;78;15;13;5;False
2023-01-11;15;75;15;12;6;False
2023-01-12;16;66;14;13;5;False
2023-01-13;15;62;11;10;4;False
2023-01-14;17;73;7;5;4;False
2023-01-15;15;100;9;8;4;False
2023-01-16;18;79;14;14;4;False
2023-01-17;16;73;14;13;4;False
2023-01-18;13;66;14;9;5;False
2023-01-19;13;62;13;11;5;False
2023-01-20;16;63;12;9;4;False
2023-01-21;20;66;7;4;4;False
2023-01-22;14;87;8;6;4;False
2023-01-23;14;70;16;12;5;False
2023-01-24;15;66;15;12;3;False
2023-01-25;14;63;14;11;5;False
2023-01-26;13;56;12;11;4;False
2023-01-27;13;58;12;10;3;False
2023-01-28;13;63;5;6;4;False
2023-01-29;12;81;8;9;4;False
2023-01-30;14;67;16;10;6;False
2023-01-31;13;61;15;12;5;False
