date;Mark Hughes;Stacey Abrams;Flooding;Ryan Reynolds;air travel;isPartial
2023-01-01;0;0;4;6;2;False
2023-01-02;1;0;3;6;3;False
2023-01-03;0;0;3;5;2;False
2023-01-04;0;0;4;3;3;False
2023-01-05;0;0;3;7;2;False
2023-01-06;0;0;4;4;2;False
2023-01-07;0;0;4;12;2;False
2023-01-08;0;0;7;12;2;False
2023-01-09;0;0;6;5;1;False
2023-01-10;1;0;14;4;2;False
2023-01-11;0;0;11;4;3;False
2023-01-12;0;0;28;4;2;False
2023-01-13;0;0;20;5;2;False
2023-01-14;1;0;23;5;2;False
2023-01-15;1;0;14;4;2;False
2023-01-16;0;0;18;3;2;False
2023-01-17;1;0;7;3;2;False
2023-01-18;0;0;7;3;2;False
2023-01-19;0;0;5;3;2;False
2023-01-20;0;0;2;3;2;False
2023-01-21;1;0;3;4;2;False
2023-01-22;1;0;3;5;2;False
2023-01-23;0;0;3;5;2;False
2023-01-24;0;0;4;5;2;False
2023-01-25;0;0;3;4;2;False
2023-01-26;0;0;3;3;2;False
2023-01-27;0;0;10;5;1;False
2023-01-28;0;0;8;7;2;False
2023-01-29;11;0;8;100;2;False
2023-01-30;2;0;6;30;3;False
2023-01-31;0;0;4;13;2;False
