date;Maria Ressa;Idaho;Democratic Republic of the Congo;Pop and rock;air travel;isPartial
2023-01-01;0;66;1;0;8;False
2023-01-02;0;55;0;1;10;False
2023-01-03;0;56;0;0;6;False
2023-01-04;0;50;0;2;9;False
2023-01-05;0;91;1;1;8;False
2023-01-06;0;100;1;0;8;False
2023-01-07;0;69;0;0;6;False
2023-01-08;0;56;0;2;9;False
2023-01-09;0;47;2;0;5;False
2023-01-10;1;39;0;1;8;False
2023-01-11;1;29;1;1;10;False
2023-01-12;0;57;0;0;8;False
2023-01-13;2;33;1;1;6;False
2023-01-14;0;30;0;1;6;False
2023-01-15;1;24;0;1;7;False
2023-01-16;0;31;1;0;7;False
2023-01-17;0;20;2;1;6;False
2023-01-18;2;16;0;2;9;False
2023-01-19;0;12;1;1;8;False
2023-01-20;0;13;0;1;6;False
2023-01-21;0;18;1;0;7;False
2023-01-22;0;14;0;0;7;False
2023-01-23;2;15;0;0;8;False
2023-01-24;0;14;1;1;6;False
2023-01-25;0;10;0;1;8;False
2023-01-26;0;10;0;1;7;False
2023-01-27;0;8;0;1;5;False
2023-01-28;0;13;1;0;7;False
2023-01-29;1;11;0;0;6;False
2023-01-30;0;8;0;1;11;False
2023-01-31;1;10;1;1;9;False
