date;Claudia Webbe;Equal pay;Insurance industry;Toulouse;air travel;isPartial
2023-01-01;7;9;0;44;30;False
2023-01-02;0;4;0;31;35;False
2023-01-03;0;5;0;32;23;False
2023-01-04;0;3;2;38;34;False
2023-01-05;3;0;3;32;28;False
2023-01-06;0;4;3;40;29;False
2023-01-07;0;3;0;35;21;False
2023-01-08;0;0;5;39;33;False
2023-01-09;0;5;0;40;19;False
2023-01-10;4;7;4;42;31;False
2023-01-11;0;14;5;28;35;False
2023-01-12;0;6;0;36;29;False
2023-01-13;3;6;4;25;23;False
2023-01-14;0;6;0;53;22;False
2023-01-15;6;7;0;60;26;False
2023-01-16;2;8;4;35;27;False
2023-01-17;0;6;5;40;22;False
2023-01-18;0;7;8;19;31;False
2023-01-19;7;9;2;32;28;False
2023-01-20;0;12;0;28;23;False
2023-01-21;0;6;0;60;25;False
2023-01-22;0;7;3;100;27;False
2023-01-23;0;3;4;42;28;False
2023-01-24;2;5;3;44;21;False
2023-01-25;3;12;3;30;29;False
2023-01-26;0;2;6;40;26;False
2023-01-27;2;7;0;44;18;False
2023-01-28;0;5;2;32;26;False
2023-01-29;0;4;4;54;23;False
2023-01-30;0;3;9;33;39;False
2023-01-31;0;7;0;28;33;False
