date;Eastern European food and drink;River Café;Maternal health;Arctic Monkeys;air travel;isPartial
2023-01-01;0;0;4;66;36;False
2023-01-02;0;4;0;78;42;False
2023-01-03;0;0;3;74;27;False
2023-01-04;0;0;6;63;42;False
2023-01-05;0;0;2;78;34;False
2023-01-06;0;3;0;91;34;False
2023-01-07;0;0;0;75;25;False
2023-01-08;0;5;3;82;40;False
2023-01-09;0;2;7;73;23;False
2023-01-10;0;0;6;75;37;False
2023-01-11;0;0;6;71;42;False
2023-01-12;0;0;5;76;35;False
2023-01-13;0;0;0;76;28;False
2023-01-14;0;0;0;88;26;False
2023-01-15;0;0;0;60;31;False
2023-01-16;0;0;4;64;32;False
2023-01-17;0;0;4;68;26;False
2023-01-18;0;0;3;54;38;False
2023-01-19;0;4;2;58;34;False
2023-01-20;0;0;0;85;28;False
2023-01-21;0;4;0;78;30;False
2023-01-22;0;3;4;62;33;False
2023-01-23;0;0;4;84;34;False
2023-01-24;0;0;0;76;26;False
2023-01-25;0;3;3;57;35;False
2023-01-26;0;0;0;70;32;False
2023-01-27;0;0;3;68;22;False
2023-01-28;0;7;3;100;31;False
2023-01-29;0;0;0;80;28;False
2023-01-30;0;0;8;68;47;False
2023-01-31;0;4;8;54;39;False
