date;Olaf Scholz;Andre Agassi;david baddiel;Concussion in sport;air travel;isPartial
2023-01-01;0;10;21;0;76;False
2023-01-02;0;0;13;0;90;False
2023-01-03;0;11;5;0;59;False
2023-01-04;0;0;26;0;89;False
2023-01-05;0;0;10;0;73;False
2023-01-06;8;23;26;0;73;False
2023-01-07;0;12;16;0;53;False
2023-01-08;12;30;17;34;84;False
2023-01-09;8;9;26;0;50;False
2023-01-10;12;12;13;0;79;False
2023-01-11;0;12;16;6;90;False
2023-01-12;0;14;26;0;75;False
2023-01-13;7;18;9;0;60;False
2023-01-14;0;10;22;0;56;False
2023-01-15;0;16;17;0;66;False
2023-01-16;5;14;0;12;68;False
2023-01-17;5;18;0;0;56;False
2023-01-18;0;12;12;0;80;False
2023-01-19;10;15;17;0;73;False
2023-01-20;29;12;24;0;59;False
2023-01-21;5;5;39;0;63;False
2023-01-22;8;6;14;0;70;False
2023-01-23;15;6;10;0;72;False
2023-01-24;8;8;22;0;55;False
2023-01-25;10;14;8;0;75;False
2023-01-26;0;0;20;0;68;False
2023-01-27;0;22;14;0;47;False
2023-01-28;0;14;32;0;66;False
2023-01-29;0;11;25;6;60;False
2023-01-30;0;13;9;0;100;False
2023-01-31;0;0;6;0;84;False
