date;Peter Doig;Sharleen Spiteri;Rail transport;Cern;air travel;isPartial
2023-01-01;3;100;4;6;29;False
2023-01-02;0;54;10;9;35;False
2023-01-03;0;7;7;10;22;False
2023-01-04;6;6;4;8;34;False
2023-01-05;0;2;5;8;28;False
2023-01-06;3;0;5;3;28;False
2023-01-07;0;6;3;10;20;False
2023-01-08;5;6;2;6;32;False
2023-01-09;3;6;6;8;19;False
2023-01-10;4;3;6;6;30;False
2023-01-11;2;3;10;6;34;False
2023-01-12;10;0;4;12;29;False
2023-01-13;3;0;7;10;23;False
2023-01-14;3;3;0;8;21;False
2023-01-15;3;3;3;11;25;False
2023-01-16;2;2;3;8;26;False
2023-01-17;0;0;12;12;21;False
2023-01-18;2;2;3;8;31;False
2023-01-19;0;4;3;10;28;False
2023-01-20;24;3;2;5;23;False
2023-01-21;3;4;5;9;24;False
2023-01-22;0;5;6;8;27;False
2023-01-23;9;4;3;10;28;False
2023-01-24;0;2;10;7;21;False
2023-01-25;0;0;2;11;29;False
2023-01-26;2;0;0;9;26;False
2023-01-27;0;0;6;10;18;False
2023-01-28;10;2;3;5;25;False
2023-01-29;5;5;5;9;23;False
2023-01-30;0;0;0;13;38;False
2023-01-31;5;0;8;6;32;False
