date;Yasser Arafat;Copa del Rey;Theresa May;Older people;air travel;isPartial
2023-01-01;0;2;4;6;19;False
2023-01-02;0;9;5;9;22;False
2023-01-03;1;22;5;9;14;False
2023-01-04;0;36;6;10;22;False
2023-01-05;0;17;5;13;18;False
2023-01-06;0;7;7;13;18;False
2023-01-07;0;4;7;8;13;False
2023-01-08;0;7;15;8;21;False
2023-01-09;0;6;10;11;12;False
2023-01-10;0;9;6;11;19;False
2023-01-11;2;9;6;13;22;False
2023-01-12;2;10;5;11;18;False
2023-01-13;0;3;6;11;15;False
2023-01-14;0;3;0;9;14;False
2023-01-15;0;19;3;6;16;False
2023-01-16;0;6;6;17;17;False
2023-01-17;0;13;4;15;14;False
2023-01-18;0;18;7;11;20;False
2023-01-19;2;47;4;7;18;False
2023-01-20;0;27;10;12;15;False
2023-01-21;0;6;5;9;16;False
2023-01-22;0;5;9;10;17;False
2023-01-23;0;10;7;14;18;False
2023-01-24;0;7;5;11;14;False
2023-01-25;0;44;5;12;19;False
2023-01-26;0;100;6;15;17;False
2023-01-27;1;34;7;10;12;False
2023-01-28;0;5;7;12;16;False
2023-01-29;0;4;7;7;15;False
2023-01-30;0;26;7;14;25;False
2023-01-31;2;9;4;10;21;False
