date;Biscuits;Budget deficit;Welsh politics;Sri Lanka attacks;air travel;isPartial
2023-01-01;68;1;1;2;12;False
2023-01-02;78;0;0;0;14;False
2023-01-03;72;0;0;0;9;False
2023-01-04;76;7;0;0;14;False
2023-01-05;74;0;1;1;11;False
2023-01-06;69;1;0;0;11;False
2023-01-07;75;0;1;0;8;False
2023-01-08;100;0;1;0;13;False
2023-01-09;71;1;1;0;8;False
2023-01-10;79;1;0;0;12;False
2023-01-11;73;1;1;0;14;False
2023-01-12;68;1;0;0;11;False
2023-01-13;72;0;0;0;9;False
2023-01-14;78;1;0;0;9;False
2023-01-15;75;0;0;1;10;False
2023-01-16;71;2;0;1;11;False
2023-01-17;79;1;0;0;9;False
2023-01-18;85;0;0;0;12;False
2023-01-19;72;0;0;0;11;False
2023-01-20;86;1;1;0;9;False
2023-01-21;83;0;0;0;10;False
2023-01-22;90;0;0;0;11;False
2023-01-23;83;1;0;0;11;False
2023-01-24;95;1;0;0;8;False
2023-01-25;84;0;0;0;12;False
2023-01-26;86;2;1;0;10;False
2023-01-27;73;1;0;0;7;False
2023-01-28;78;0;1;0;10;False
2023-01-29;83;0;0;0;9;False
2023-01-30;72;1;0;0;15;False
2023-01-31;80;2;0;0;13;False
