date;duchess of cornwall;Comedy;Jon Richardson;nepal;air travel;isPartial
2023-01-01;0;44;2;10;4;False
2023-01-02;1;36;1;10;4;False
2023-01-03;0;31;1;9;3;False
2023-01-04;0;30;1;10;4;False
2023-01-05;0;35;1;9;3;False
2023-01-06;0;37;2;7;3;False
2023-01-07;0;41;1;9;2;False
2023-01-08;0;41;1;11;4;False
2023-01-09;0;28;1;10;2;False
2023-01-10;0;31;1;6;4;False
2023-01-11;0;32;2;8;4;False
2023-01-12;1;33;1;9;3;False
2023-01-13;0;36;4;8;3;False
2023-01-14;0;44;2;10;3;False
2023-01-15;0;36;2;100;3;False
2023-01-16;0;31;1;88;3;False
2023-01-17;1;29;1;40;3;False
2023-01-18;0;27;1;24;4;False
2023-01-19;0;30;1;17;3;False
2023-01-20;0;37;3;16;3;False
2023-01-21;0;44;2;14;3;False
2023-01-22;0;37;2;14;3;False
2023-01-23;0;30;1;11;3;False
2023-01-24;0;37;1;11;3;False
2023-01-25;0;34;1;10;3;False
2023-01-26;1;32;1;9;3;False
2023-01-27;0;38;3;10;2;False
2023-01-28;0;45;1;7;3;False
2023-01-29;0;40;1;9;3;False
2023-01-30;0;34;0;9;5;False
2023-01-31;0;33;1;11;4;False
