date;England netball team;The moon;Alaska;Noodles;air travel;isPartial
2023-01-01;0;70;28;63;8;False
2023-01-02;0;85;27;83;9;False
2023-01-03;0;56;26;76;6;False
2023-01-04;0;72;22;75;9;False
2023-01-05;0;70;21;68;8;False
2023-01-06;0;79;22;69;8;False
2023-01-07;0;84;24;70;6;False
2023-01-08;0;91;27;67;9;False
2023-01-09;1;79;20;63;5;False
2023-01-10;0;66;22;65;8;False
2023-01-11;3;61;24;67;9;False
2023-01-12;0;60;20;67;8;False
2023-01-13;1;60;20;62;6;False
2023-01-14;4;63;21;67;6;False
2023-01-15;1;72;17;68;7;False
2023-01-16;1;61;16;64;7;False
2023-01-17;1;55;17;67;6;False
2023-01-18;0;66;33;66;8;False
2023-01-19;0;61;20;67;8;False
2023-01-20;0;83;20;67;6;False
2023-01-21;2;100;21;87;7;False
2023-01-22;0;89;21;74;7;False
2023-01-23;1;78;26;69;8;False
2023-01-24;0;68;21;70;6;False
2023-01-25;0;74;16;67;8;False
2023-01-26;0;65;17;66;7;False
2023-01-27;0;62;17;61;5;False
2023-01-28;0;71;15;63;7;False
2023-01-29;0;69;19;72;6;False
2023-01-30;1;77;21;64;10;False
2023-01-31;0;66;16;68;9;False
