date;Child rights;Stephen Hendry;paul mescal;Pennsylvania;air travel;isPartial
2023-01-01;2;0;8;14;14;False
2023-01-02;3;0;6;14;17;False
2023-01-03;5;0;19;19;11;False
2023-01-04;6;0;25;16;17;False
2023-01-05;4;2;17;15;14;False
2023-01-06;6;2;24;11;14;False
2023-01-07;4;0;24;8;10;False
2023-01-08;5;6;23;15;16;False
2023-01-09;7;9;22;10;9;False
2023-01-10;3;3;19;13;15;False
2023-01-11;8;7;14;10;17;False
2023-01-12;9;14;11;9;14;False
2023-01-13;5;30;21;12;11;False
2023-01-14;5;9;24;10;11;False
2023-01-15;5;74;26;16;12;False
2023-01-16;7;17;23;9;13;False
2023-01-17;3;4;9;9;10;False
2023-01-18;5;3;12;10;15;False
2023-01-19;4;4;11;9;14;False
2023-01-20;9;5;12;8;11;False
2023-01-21;5;77;13;8;12;False
2023-01-22;3;52;8;13;13;False
2023-01-23;4;51;8;11;13;False
2023-01-24;8;14;78;12;10;False
2023-01-25;3;11;100;9;14;False
2023-01-26;6;6;64;12;13;False
2023-01-27;5;6;37;12;9;False
2023-01-28;8;14;30;6;12;False
2023-01-29;3;4;26;9;11;False
2023-01-30;4;0;20;9;19;False
2023-01-31;7;1;21;13;16;False
