date;metaverse;Surrey;Women's suffrage;Banco Santander;air travel;isPartial
2023-01-01;3;67;1;1;5;False
2023-01-02;3;71;1;1;6;False
2023-01-03;4;86;1;0;4;False
2023-01-04;5;81;0;1;6;False
2023-01-05;5;74;0;1;5;False
2023-01-06;4;72;0;0;5;False
2023-01-07;4;67;1;0;4;False
2023-01-08;3;71;0;1;6;False
2023-01-09;6;81;0;1;3;False
2023-01-10;4;81;0;1;5;False
2023-01-11;5;82;0;1;6;False
2023-01-12;4;86;0;1;5;False
2023-01-13;5;100;0;1;4;False
2023-01-14;3;95;0;1;4;False
2023-01-15;3;79;0;0;4;False
2023-01-16;4;86;1;2;5;False
2023-01-17;4;82;0;0;4;False
2023-01-18;4;80;0;1;5;False
2023-01-19;3;80;0;2;5;False
2023-01-20;4;77;0;0;4;False
2023-01-21;2;69;0;0;4;False
2023-01-22;3;64;0;0;5;False
2023-01-23;4;88;0;1;5;False
2023-01-24;5;83;0;0;4;False
2023-01-25;4;73;0;2;5;False
2023-01-26;5;72;0;0;5;False
2023-01-27;3;73;0;1;3;False
2023-01-28;2;65;0;1;4;False
2023-01-29;2;63;0;0;4;False
2023-01-30;4;88;1;1;7;False
2023-01-31;4;73;0;1;6;False
