date;andrea riseborough;ECB;Houston Texans;Milan;air travel;isPartial
2023-01-01;0;1;0;27;4;False
2023-01-02;1;1;0;34;5;False
2023-01-03;0;3;0;31;3;False
2023-01-04;0;2;0;57;5;False
2023-01-05;0;3;0;33;4;False
2023-01-06;0;2;0;33;4;False
2023-01-07;0;1;0;37;3;False
2023-01-08;1;1;1;81;5;False
2023-01-09;0;2;1;42;3;False
2023-01-10;0;2;0;45;4;False
2023-01-11;0;1;0;51;5;False
2023-01-12;0;3;0;38;4;False
2023-01-13;1;3;0;32;3;False
2023-01-14;0;1;0;61;3;False
2023-01-15;0;1;0;53;4;False
2023-01-16;1;3;0;36;4;False
2023-01-17;0;3;0;36;3;False
2023-01-18;1;3;0;100;4;False
2023-01-19;1;2;0;45;4;False
2023-01-20;1;3;0;35;3;False
2023-01-21;1;1;1;34;3;False
2023-01-22;0;2;0;38;4;False
2023-01-23;0;3;0;45;4;False
2023-01-24;18;3;0;58;3;False
2023-01-25;8;3;0;38;4;False
2023-01-26;2;3;0;34;4;False
2023-01-27;3;3;1;32;3;False
2023-01-28;5;2;0;43;4;False
2023-01-29;8;2;0;81;3;False
2023-01-30;10;3;0;39;5;False
2023-01-31;8;3;0;44;5;False
