date;Saatchi gallery;liz truss;US work & careers;vatican city;air travel;isPartial
2023-01-01;7;68;0;40;40;False
2023-01-02;5;40;0;21;47;False
2023-01-03;7;34;0;19;30;False
2023-01-04;18;55;0;21;46;False
2023-01-05;4;38;0;52;38;False
2023-01-06;14;42;0;27;38;False
2023-01-07;18;25;0;24;28;False
2023-01-08;17;42;0;15;44;False
2023-01-09;4;29;0;14;26;False
2023-01-10;7;40;0;27;41;False
2023-01-11;12;37;0;13;47;False
2023-01-12;17;43;0;18;39;False
2023-01-13;18;51;0;18;31;False
2023-01-14;12;30;0;18;29;False
2023-01-15;15;32;0;16;34;False
2023-01-16;13;56;0;21;36;False
2023-01-17;10;31;0;16;29;False
2023-01-18;13;100;0;26;42;False
2023-01-19;9;94;0;17;38;False
2023-01-20;15;49;0;19;31;False
2023-01-21;12;19;0;17;33;False
2023-01-22;12;35;0;24;36;False
2023-01-23;12;43;0;14;37;False
2023-01-24;6;42;0;18;29;False
2023-01-25;3;47;0;15;39;False
2023-01-26;8;41;0;15;35;False
2023-01-27;14;36;0;9;24;False
2023-01-28;12;25;0;13;34;False
2023-01-29;11;69;0;17;31;False
2023-01-30;10;33;0;22;52;False
2023-01-31;10;63;0;18;44;False
