date;Models;Elena Ferrante;Northern Irish politics;Day trips;air travel;isPartial
2023-01-01;86;1;0;18;8;False
2023-01-02;92;0;0;19;10;False
2023-01-03;92;0;0;15;6;False
2023-01-04;96;0;0;19;10;False
2023-01-05;92;1;0;15;8;False
2023-01-06;90;3;0;13;8;False
2023-01-07;80;1;0;14;6;False
2023-01-08;97;1;1;22;9;False
2023-01-09;87;0;0;12;5;False
2023-01-10;96;0;0;14;8;False
2023-01-11;93;1;0;15;10;False
2023-01-12;98;1;0;13;8;False
2023-01-13;83;1;0;11;6;False
2023-01-14;83;1;0;16;6;False
2023-01-15;86;1;0;18;7;False
2023-01-16;92;1;0;14;7;False
2023-01-17;92;0;0;15;6;False
2023-01-18;84;1;1;13;9;False
2023-01-19;87;1;0;16;8;False
2023-01-20;100;0;0;15;6;False
2023-01-21;94;1;1;15;7;False
2023-01-22;88;0;1;18;8;False
2023-01-23;96;1;0;16;8;False
2023-01-24;94;0;0;15;6;False
2023-01-25;94;1;1;18;8;False
2023-01-26;87;0;0;12;7;False
2023-01-27;84;1;0;19;5;False
2023-01-28;86;1;0;19;7;False
2023-01-29;88;2;0;21;6;False
2023-01-30;95;0;0;17;11;False
2023-01-31;96;1;0;14;9;False
