date;Equestrianism;Sahel;Biz Stone;Mamma Mia! Here We Go Again;air travel;isPartial
2023-01-01;0;0;0;0;76;False
2023-01-02;0;6;0;0;90;False
2023-01-03;0;7;0;0;59;False
2023-01-04;7;14;0;0;89;False
2023-01-05;0;13;0;0;73;False
2023-01-06;0;11;0;0;73;False
2023-01-07;0;0;5;0;53;False
2023-01-08;0;0;6;0;84;False
2023-01-09;5;0;7;0;50;False
2023-01-10;0;13;7;0;79;False
2023-01-11;0;17;0;0;90;False
2023-01-12;0;9;0;0;75;False
2023-01-13;0;8;0;0;60;False
2023-01-14;0;0;0;0;56;False
2023-01-15;0;10;0;0;66;False
2023-01-16;0;0;0;0;68;False
2023-01-17;0;15;0;0;56;False
2023-01-18;9;10;0;0;80;False
2023-01-19;0;20;14;0;73;False
2023-01-20;0;0;6;0;59;False
2023-01-21;0;25;0;0;63;False
2023-01-22;0;10;0;0;70;False
2023-01-23;0;5;0;0;72;False
2023-01-24;0;10;0;0;55;False
2023-01-25;0;24;0;0;75;False
2023-01-26;0;5;0;0;68;False
2023-01-27;0;7;7;0;47;False
2023-01-28;0;7;0;0;66;False
2023-01-29;0;0;0;0;60;False
2023-01-30;0;0;0;0;100;False
2023-01-31;0;5;0;0;84;False
