date;spain;Vogue;congress;Canberra;air travel;isPartial
2023-01-01;85;8;2;2;3;False
2023-01-02;92;11;3;2;4;False
2023-01-03;86;11;6;2;2;False
2023-01-04;83;11;7;3;4;False
2023-01-05;83;8;7;2;3;False
2023-01-06;83;10;8;1;3;False
2023-01-07;81;7;5;1;2;False
2023-01-08;100;8;6;2;3;False
2023-01-09;81;9;5;1;2;False
2023-01-10;86;10;6;1;3;False
2023-01-11;84;12;5;2;4;False
2023-01-12;83;14;3;1;3;False
2023-01-13;79;10;4;2;2;False
2023-01-14;83;11;3;2;2;False
2023-01-15;96;10;4;1;3;False
2023-01-16;80;10;4;1;3;False
2023-01-17;79;12;5;1;2;False
2023-01-18;81;12;4;2;3;False
2023-01-19;81;13;4;2;3;False
2023-01-20;80;11;5;2;2;False
2023-01-21;87;11;3;2;3;False
2023-01-22;97;10;2;1;3;False
2023-01-23;87;13;5;2;3;False
2023-01-24;82;11;5;1;2;False
2023-01-25;80;11;5;2;3;False
2023-01-26;73;10;4;1;3;False
2023-01-27;79;12;4;1;2;False
2023-01-28;81;10;3;1;3;False
2023-01-29;89;11;2;1;2;False
2023-01-30;80;11;5;2;4;False
2023-01-31;81;12;6;2;3;False
