date;Peterborough;Jacob Rees-Mogg;Paris fashion week;Kim Jones;air travel;isPartial
2022-01-01;65;0;0;0;2;False
2022-01-02;60;0;0;0;4;False
2022-01-03;67;0;0;0;4;False
2022-01-04;70;0;0;0;4;False
2022-01-05;70;0;0;0;5;False
2022-01-06;61;1;0;1;4;False
2022-01-07;67;0;0;0;5;False
2022-01-08;75;0;0;0;4;False
2022-01-09;63;1;0;0;3;False
2022-01-10;66;1;0;0;6;False
2022-01-11;62;0;1;1;4;False
2022-01-12;62;0;0;1;5;False
2022-01-13;64;1;0;1;6;False
2022-01-14;63;2;0;1;6;False
2022-01-15;80;0;0;0;4;False
2022-01-16;66;0;1;0;5;False
2022-01-17;66;0;0;1;3;False
2022-01-18;58;0;1;0;4;False
2022-01-19;57;0;1;0;5;False
2022-01-20;64;1;1;0;3;False
2022-01-21;65;0;0;1;3;False
2022-01-22;75;0;1;1;3;False
2022-01-23;60;0;0;1;5;False
2022-01-24;80;0;1;0;6;False
2022-01-25;74;2;1;0;4;False
2022-01-26;60;0;1;1;5;False
2022-01-27;61;0;0;1;4;False
2022-01-28;75;0;1;0;4;False
2022-01-29;100;2;1;1;4;False
2022-01-30;62;1;1;0;5;False
2022-01-31;69;0;1;0;4;False
