date;Chevron;air travel;Aids and HIV;National disability insurance scheme;Tasmania;isPartial
2022-01-01;26;29;7;0;36;False
2022-01-02;56;55;0;0;24;False
2022-01-03;46;47;0;0;40;False
2022-01-04;36;66;7;0;26;False
2022-01-05;47;85;0;0;16;False
2022-01-06;39;63;0;0;34;False
2022-01-07;55;71;4;0;28;False
2022-01-08;68;62;0;0;36;False
2022-01-09;34;45;10;0;28;False
2022-01-10;31;73;0;0;22;False
2022-01-11;68;65;0;0;22;False
2022-01-12;50;67;0;0;49;False
2022-01-13;37;87;16;0;33;False
2022-01-14;38;77;0;0;93;False
2022-01-15;29;60;0;0;100;False
2022-01-16;45;71;5;0;67;False
2022-01-17;51;49;6;0;24;False
2022-01-18;34;52;0;0;26;False
2022-01-19;52;70;0;0;19;False
2022-01-20;48;49;8;0;39;False
2022-01-21;31;39;6;0;27;False
2022-01-22;64;49;0;0;26;False
2022-01-23;67;68;0;0;22;False
2022-01-24;61;81;6;0;32;False
2022-01-25;52;45;8;0;20;False
2022-01-26;36;68;0;0;13;False
2022-01-27;48;62;0;0;16;False
2022-01-28;54;51;0;0;23;False
2022-01-29;32;54;0;0;30;False
2022-01-30;52;61;5;0;18;False
2022-01-31;45;80;13;0;16;False
