date;Chelsea;Executive pay and bonuses;air travel;Corporate governance;Priti Patel;isPartial
2022-01-01;22;0;0;0;0;False
2022-01-02;100;0;1;0;0;False
2022-01-03;23;0;0;0;0;False
2022-01-04;20;0;0;0;0;False
2022-01-05;67;0;1;0;0;False
2022-01-06;21;0;1;0;0;False
2022-01-07;17;0;1;0;0;False
2022-01-08;56;0;1;0;0;False
2022-01-09;21;0;0;0;0;False
2022-01-10;17;0;1;0;0;False
2022-01-11;17;0;1;0;0;False
2022-01-12;58;0;1;0;1;False
2022-01-13;24;0;1;0;1;False
2022-01-14;18;0;1;0;1;False
2022-01-15;56;0;1;0;0;False
2022-01-16;18;0;1;0;1;False
2022-01-17;16;0;0;0;1;False
2022-01-18;42;0;1;0;1;False
2022-01-19;17;0;1;0;1;False
2022-01-20;16;0;0;0;0;False
2022-01-21;17;0;0;0;0;False
2022-01-22;20;0;0;0;0;False
2022-01-23;61;0;1;0;1;False
2022-01-24;18;0;1;0;1;False
2022-01-25;15;0;0;0;0;False
2022-01-26;16;0;1;0;0;False
2022-01-27;14;0;1;0;0;False
2022-01-28;15;0;0;0;0;False
2022-01-29;19;0;1;0;2;False
2022-01-30;17;0;1;0;0;False
2022-01-31;17;0;1;0;1;False
