date;Baltimore Ravens;air travel;Buffalo Bills;Federal Reserve;Green politics;isPartial
2022-01-01;7;19;17;0;3;False
2022-01-02;0;35;22;0;0;False
2022-01-03;11;30;20;0;0;False
2022-01-04;5;43;3;4;6;False
2022-01-05;0;55;3;13;0;False
2022-01-06;4;41;3;5;0;False
2022-01-07;0;46;0;4;0;False
2022-01-08;4;40;4;8;6;False
2022-01-09;28;29;19;6;0;False
2022-01-10;4;47;26;11;0;False
2022-01-11;0;42;9;14;8;False
2022-01-12;0;44;15;9;0;False
2022-01-13;0;56;8;10;0;False
2022-01-14;0;50;5;11;7;False
2022-01-15;0;39;22;5;0;False
2022-01-16;4;46;100;5;10;False
2022-01-17;0;32;20;4;0;False
2022-01-18;4;34;0;4;8;False
2022-01-19;0;45;16;7;7;False
2022-01-20;10;32;14;0;0;False
2022-01-21;3;25;13;8;0;False
2022-01-22;0;32;12;3;0;False
2022-01-23;5;44;58;4;0;False
2022-01-24;4;53;99;19;0;False
2022-01-25;0;29;15;12;12;False
2022-01-26;4;44;0;84;0;False
2022-01-27;0;40;7;16;0;False
2022-01-28;4;33;7;9;0;False
2022-01-29;0;35;11;5;0;False
2022-01-30;4;39;9;5;0;False
2022-01-31;0;52;6;6;0;False
