date;air travel;Extreme weather;Malawi;Mozambique;Madagascar;isPartial
2022-01-01;8;0;11;3;41;False
2022-01-02;20;0;13;7;83;False
2022-01-03;18;6;16;8;34;False
2022-01-04;17;4;15;3;28;False
2022-01-05;24;5;10;9;22;False
2022-01-06;21;6;9;6;28;False
2022-01-07;22;4;11;11;26;False
2022-01-08;20;1;6;1;36;False
2022-01-09;16;2;10;3;45;False
2022-01-10;29;5;37;10;35;False
2022-01-11;20;9;17;9;28;False
2022-01-12;22;8;17;7;29;False
2022-01-13;30;3;10;4;36;False
2022-01-14;26;3;37;8;27;False
2022-01-15;20;0;12;7;38;False
2022-01-16;25;4;15;9;24;False
2022-01-17;16;8;14;8;24;False
2022-01-18;20;6;39;8;23;False
2022-01-19;23;5;14;8;27;False
2022-01-20;15;0;21;10;31;False
2022-01-21;12;5;14;7;24;False
2022-01-22;16;1;19;5;27;False
2022-01-23;22;3;13;8;57;False
2022-01-24;28;4;21;6;24;False
2022-01-25;18;2;100;15;29;False
2022-01-26;23;0;33;6;29;False
2022-01-27;20;7;13;8;26;False
2022-01-28;19;5;9;7;34;False
2022-01-29;20;3;15;9;28;False
2022-01-30;22;5;20;8;31;False
2022-01-31;19;5;12;10;20;False
