date;Censorship;Asghar Farhadi;Beach Boys;Brian Wilson;air travel;isPartial
2022-01-01;4;0;11;3;13;False
2022-01-02;0;0;7;0;24;False
2022-01-03;4;0;4;0;21;False
2022-01-04;0;4;6;0;29;False
2022-01-05;8;0;5;0;37;False
2022-01-06;2;0;8;0;28;False
2022-01-07;5;2;15;4;31;False
2022-01-08;3;0;22;7;27;False
2022-01-09;0;0;11;0;20;False
2022-01-10;4;3;12;0;32;False
2022-01-11;7;0;7;4;28;False
2022-01-12;0;0;15;2;30;False
2022-01-13;8;3;10;10;38;False
2022-01-14;5;0;13;5;34;False
2022-01-15;0;3;5;0;26;False
2022-01-16;5;0;18;5;32;False
2022-01-17;3;0;9;0;22;False
2022-01-18;4;0;5;2;24;False
2022-01-19;3;0;11;12;31;False
2022-01-20;7;2;8;3;22;False
2022-01-21;3;3;16;5;17;False
2022-01-22;7;0;60;14;21;False
2022-01-23;8;0;19;6;30;False
2022-01-24;10;0;56;100;36;False
2022-01-25;4;0;14;13;19;False
2022-01-26;5;0;13;8;30;False
2022-01-27;5;0;13;5;27;False
2022-01-28;5;0;27;4;22;False
2022-01-29;5;0;20;8;24;False
2022-01-30;8;4;12;3;27;False
2022-01-31;8;3;11;8;35;False
