date;air travel;Neuroscience;Islamophobia;Sayeeda Warsi;Asteroids;isPartial
2022-01-01;8;9;0;39;3;False
2022-01-02;21;5;0;29;6;False
2022-01-03;18;12;2;16;0;False
2022-01-04;17;13;0;10;0;False
2022-01-05;24;14;0;4;3;False
2022-01-06;21;16;2;5;2;False
2022-01-07;22;8;0;6;3;False
2022-01-08;20;4;0;6;0;False
2022-01-09;16;8;0;3;0;False
2022-01-10;29;12;4;20;2;False
2022-01-11;20;13;4;2;0;False
2022-01-12;22;11;0;0;2;False
2022-01-13;30;14;0;0;11;False
2022-01-14;26;9;4;0;8;False
2022-01-15;20;10;3;2;0;False
2022-01-16;25;19;2;0;0;False
2022-01-17;16;7;0;0;3;False
2022-01-18;20;12;2;0;100;False
2022-01-19;23;10;2;0;41;False
2022-01-20;15;17;0;0;5;False
2022-01-21;12;12;0;0;0;False
2022-01-22;16;9;2;0;0;False
2022-01-23;22;10;7;1;2;False
2022-01-24;28;10;12;7;3;False
2022-01-25;18;13;6;0;4;False
2022-01-26;23;9;8;0;2;False
2022-01-27;20;8;3;0;0;False
2022-01-28;19;15;3;0;0;False
2022-01-29;20;5;0;0;5;False
2022-01-30;22;8;3;3;4;False
2022-01-31;19;11;0;0;0;False
