date;Reese Witherspoon;Children's books: 7 and under;Children and teenagers;air travel;Children's books: 8-12 years;isPartial
2022-01-01;57;0;0;33;0;False
2022-01-02;27;0;0;63;0;False
2022-01-03;60;0;0;54;0;False
2022-01-04;28;0;0;76;0;False
2022-01-05;47;0;17;98;0;False
2022-01-06;61;0;5;73;0;False
2022-01-07;44;0;8;82;0;False
2022-01-08;36;0;8;72;0;False
2022-01-09;71;0;0;52;0;False
2022-01-10;43;0;0;84;0;False
2022-01-11;39;0;8;75;0;False
2022-01-12;27;0;0;78;0;False
2022-01-13;71;0;0;100;0;False
2022-01-14;40;0;0;89;0;False
2022-01-15;53;0;14;69;0;False
2022-01-16;63;0;0;82;0;False
2022-01-17;23;0;0;57;0;False
2022-01-18;27;0;0;60;0;False
2022-01-19;29;0;0;81;0;False
2022-01-20;43;0;0;57;0;False
2022-01-21;77;0;0;45;0;False
2022-01-22;55;0;6;56;0;False
2022-01-23;48;0;0;79;0;False
2022-01-24;13;0;0;94;0;False
2022-01-25;44;0;12;51;0;False
2022-01-26;25;0;0;79;0;False
2022-01-27;29;0;0;72;0;False
2022-01-28;75;0;0;59;0;False
2022-01-29;59;0;0;62;0;False
2022-01-30;36;0;0;70;0;False
2022-01-31;33;0;0;93;0;False
