date;Jack Dee;Radio 4;Woody Allen;air travel;Hygiene;isPartial
2022-01-01;6;76;9;6;31;False
2022-01-02;5;72;5;12;31;False
2022-01-03;2;75;2;10;26;False
2022-01-04;4;100;4;14;38;False
2022-01-05;1;81;3;19;43;False
2022-01-06;0;90;0;14;38;False
2022-01-07;5;83;3;15;40;False
2022-01-08;5;85;5;14;38;False
2022-01-09;2;78;6;10;36;False
2022-01-10;0;85;0;16;43;False
2022-01-11;0;93;5;14;44;False
2022-01-12;2;82;0;15;48;False
2022-01-13;0;88;8;19;44;False
2022-01-14;22;99;5;17;42;False
2022-01-15;11;97;5;13;42;False
2022-01-16;2;86;3;15;45;False
2022-01-17;0;83;3;11;42;False
2022-01-18;3;90;3;11;44;False
2022-01-19;4;86;4;15;46;False
2022-01-20;3;79;2;11;49;False
2022-01-21;4;90;1;9;56;False
2022-01-22;3;76;4;11;38;False
2022-01-23;2;76;4;15;37;False
2022-01-24;1;95;0;18;44;False
2022-01-25;3;83;2;10;44;False
2022-01-26;2;81;4;15;43;False
2022-01-27;4;86;3;14;42;False
2022-01-28;3;99;4;11;44;False
2022-01-29;2;79;5;12;40;False
2022-01-30;6;83;6;13;28;False
2022-01-31;0;96;5;18;44;False
