date;Radio industry;air travel;Australia;Bon Iver;India;isPartial
2022-01-01;0;1;58;1;64;False
2022-01-02;0;2;60;1;64;False
2022-01-03;0;2;55;0;75;False
2022-01-04;0;2;66;0;86;False
2022-01-05;0;3;78;0;79;False
2022-01-06;0;2;78;1;79;False
2022-01-07;0;2;79;1;66;False
2022-01-08;0;2;83;1;64;False
2022-01-09;1;2;86;0;62;False
2022-01-10;0;3;64;1;62;False
2022-01-11;0;2;59;1;74;False
2022-01-12;0;2;60;1;72;False
2022-01-13;0;3;63;0;87;False
2022-01-14;0;3;81;1;75;False
2022-01-15;0;2;86;0;64;False
2022-01-16;0;2;100;0;69;False
2022-01-17;0;2;59;0;59;False
2022-01-18;0;2;57;0;57;False
2022-01-19;0;2;55;0;72;False
2022-01-20;0;2;58;0;61;False
2022-01-21;0;1;54;1;79;False
2022-01-22;0;2;56;0;64;False
2022-01-23;0;2;59;0;82;False
2022-01-24;1;3;59;0;70;False
2022-01-25;0;2;55;0;61;False
2022-01-26;0;2;63;0;66;False
2022-01-27;0;2;61;0;61;False
2022-01-28;0;2;54;0;61;False
2022-01-29;0;2;57;0;69;False
2022-01-30;0;2;75;1;63;False
2022-01-31;0;3;51;0;65;False
