date;Pixies;Frank Black;air travel;Nord Stream 2 pipeline;Board games;isPartial
2022-01-01;18;0;21;0;100;False
2022-01-02;12;9;40;5;89;False
2022-01-03;20;0;34;0;85;False
2022-01-04;9;5;48;0;83;False
2022-01-05;21;13;62;0;73;False
2022-01-06;13;9;46;0;63;False
2022-01-07;20;0;51;0;64;False
2022-01-08;19;0;45;8;84;False
2022-01-09;12;4;33;0;68;False
2022-01-10;20;0;53;0;64;False
2022-01-11;22;7;47;0;54;False
2022-01-12;15;0;49;0;60;False
2022-01-13;18;5;63;0;47;False
2022-01-14;20;0;56;0;60;False
2022-01-15;15;9;44;0;69;False
2022-01-16;11;4;51;0;78;False
2022-01-17;11;27;36;0;52;False
2022-01-18;15;5;38;0;55;False
2022-01-19;9;5;51;0;56;False
2022-01-20;11;0;36;0;44;False
2022-01-21;15;9;28;0;40;False
2022-01-22;18;5;36;0;65;False
2022-01-23;12;3;50;0;73;False
2022-01-24;12;4;59;0;63;False
2022-01-25;13;0;32;0;60;False
2022-01-26;16;0;50;10;57;False
2022-01-27;7;0;45;5;54;False
2022-01-28;16;10;37;6;50;False
2022-01-29;9;5;39;7;73;False
2022-01-30;3;5;44;3;64;False
2022-01-31;11;0;58;0;55;False
